AnonID,Query,QueryTime,ItemRank,ClickURL
214,jeopardy,2006-03-01 19:22:35,1,http://www.sonypictures.com
214,food network,2006-03-09 16:18:49,3,http://www.foodtv.ca
457,ebony bridal planner.com,2006-03-14 02:27:40,1,http://www.blackedition.com
457,www.msn.com,2006-03-20 16:28:40,1,http://www.msn.com
457,www.ugly people.com,2006-03-24 10:12:17,1,http://www.grimmemennesker.dk
457,girls,2006-03-24 14:02:28,2,http://www.desktopgirls.com
457,www.people pics.come,2006-03-24 14:09:48,8,http://www.perfectpeople.net
457,young girls,2006-03-24 14:19:18,4,http://www.umbc.edu
1050,family watch dog,2006-03-01 23:15:43,1,http://www.familywatchdog.us
1050,2907.04a- sexual conduct with minor,2006-03-01 23:25:13,1,http://www.hancocksheriff.org
1050,2907.04a- sexual conduct with minor meaning,2006-03-01 23:26:23,1,http://lostinlimaohio.blogspot.com
1050,2907.04a-,2006-03-01 23:28:30,4,http://ohio.esorn.net
1050,2907.04a-,2006-03-01 23:28:30,1,http://www.hancocksheriff.org
1050,2907.04a-,2006-03-01 23:28:30,3,http://www.drc.state.oh.us
1050,unlawful sexual conduct with a minor,2006-03-01 23:34:12,3,http://www.ageofconsent.com
1050,unlawful sexual conduct with a minor,2006-03-01 23:34:12,5,http://www.waynecountysheriff.com
1050,paris hilton pregnant,2006-03-04 01:25:14,1,http://au.messages.yahoo.com
1050,paris hilton pregnant,2006-03-04 01:25:14,2,http://extratv.warnerbros.com
1050,paris hilton pregnant,2006-03-04 01:25:14,5,http://news.webindia123.com
1050,paris hilton pregnant picture,2006-03-04 01:26:19,8,http://www.sky.com
1050,jack osbourne skinny picture,2006-03-04 01:27:27,1,http://www.i-am-bored.com
1050,jack osbourne skinny picture,2006-03-04 01:27:27,2,http://www.mirror.co.uk
1050,jack osbourne skinny picture,2006-03-04 01:27:27,3,http://outside.away.com
1050,jack osbourne skinny picture,2006-03-04 01:27:27,6,http://www.usatoday.com
1050,top saddest songs,2006-03-04 01:32:36,1,http://www.popculturemadness.com
1050,top saddest songs,2006-03-04 01:32:36,3,http://www.stylusmagazine.com
1050,top saddest songs,2006-03-04 01:32:36,4,http://boards.muchmusic.com
1050,top saddest songs,2006-03-04 01:42:37,12,http://members.tripod.com
1050,saddest songs,2006-03-04 01:43:37,1,http://www.wanderlist.com
1050,sad songs,2006-03-04 01:51:12,3,http://www.indianchild.com
1050,sad songs,2006-03-04 01:51:12,9,http://www.lucidinterval.org
1050,saddest songs,2006-03-04 01:51:50,2,http://www.wanderlist.com
1050,free myspace web layouts,2006-03-05 20:04:06,2,http://grmlbrowser.com
1050,free myspace web layouts,2006-03-05 20:04:06,4,http://www.freeweblayouts.net
1050,free myspace web layouts,2006-03-05 20:04:06,6,http://www.templatesbox.com
1050,free myspace web layouts,2006-03-05 20:04:06,7,http://myspace-blog-swicki.eurekster.com
1050,free myspace web layouts,2006-03-05 20:04:06,9,http://web.ics.purdue.edu
1050,free myspace web layouts,2006-03-05 20:04:06,8,http://myspace-blog-swicki.eurekster.com
1050,free myspace web layouts,2006-03-05 20:04:06,8,http://myspace-blog-swicki.eurekster.com
1050,my space free layouts,2006-03-05 20:14:17,1,http://www.createblog.com
1050,my space free layouts athletes,2006-03-05 20:14:38,4,http://www.myspace.com
1050,my space free layouts athletes,2006-03-05 20:14:38,2,http://web.ics.purdue.edu
1050,myspace free layouts athletes,2006-03-05 20:15:29,1,http://www.freecodesource.com
1050,myspace free layouts athletes,2006-03-05 20:15:29,6,http://www.freepagegraphics.com
1050,myspace free layouts athletes,2006-03-05 20:15:29,9,http://www.musicvideocodes.ws
1050,famous sayings,2006-03-05 20:36:06,1,http://www.scouting.org
1050,famous sayings,2006-03-05 20:36:06,6,http://quotations.home.worldnet.att.net
1050,famous sayings,2006-03-05 20:36:06,10,http://print-a-poster.p-rposters.com
1050,www.mansfield.osu.edu,2006-03-06 12:54:42,1,http://www.mansfield.ohio-state.edu
1050,alfred college,2006-03-07 15:33:39,1,http://www.alfred.edu
1050,swang song rap,2006-03-10 19:16:17,5,http://www.stlyrics.com
1050,swang song rap,2006-03-10 19:16:17,4,http://www.stlyrics.com
1050,swang song rap,2006-03-10 19:16:17,8,http://www.unsignedbandweb.com
1050,swang song rap,2006-03-10 19:16:17,7,http://www.worldwideconnected.com
1050,common,2006-03-10 19:21:51,1,http://www.common-music.com
1050,will and grace spoilers,2006-03-10 20:40:28,1,http://tvcomedies.about.com
1050,will and grace spoilers,2006-03-10 20:40:28,3,http://www.spoilerfix.com
1050,will and grace spoilers,2006-03-10 20:40:28,6,http://www.gawker.com
1050,will and grace spoilers,2006-03-10 20:40:28,8,http://willandgraceforum.com
1050,lil rob,2006-03-11 15:07:40,2,http://www.lilrob.com
1050,kiss fm 965,2006-03-11 19:31:33,2,http://www.987kissfm.com
1050,kiss fm 965,2006-03-11 19:31:33,1,http://www.965kissfm.com
1050,kiss fm 965,2006-03-11 19:31:33,3,http://www.sundaynightslowjams.com
1050,kiss fm 96.5,2006-03-11 19:32:37,1,http://www.kissfm965.com
1050,kiss fm 96.5,2006-03-11 19:32:37,3,http://www.kisscleveland.com
1050,the merchant of venice shylock a victim quotes,2006-03-12 10:53:52,3,http://www.english-teaching.co.uk
1050,the merchant of venice shylock a victim quotes,2006-03-12 10:53:52,1,http://allfreeessays.com
1050,the merchant of venice quotes,2006-03-12 11:04:11,1,http://www.allgreatquotes.com
1050,the merchant of venice quotes,2006-03-12 11:04:11,3,http://www.novelguide.com
1050,the merchant of venice quotes,2006-03-12 11:04:11,2,http://absoluteshakespeare.com
1050,the merchant of venice quotes,2006-03-12 11:04:11,5,http://www.imdb.com
1050,the merchant of venice quotes,2006-03-12 11:04:11,6,http://www.william-shakespeare.info
1050,the merchant of venice quotes,2006-03-12 11:04:11,7,http://www.litquotes.com
1050,the merchant of venice quotes,2006-03-12 11:04:11,8,http://www.enotes.com
1050,the merchant of venice quotes,2006-03-12 11:04:11,9,http://www.worldofquotes.com
1050,jbradley biology,2006-03-12 17:48:15,1,http://www.mansfield.ohio-state.edu
1050,ncaa march madness bracket,2006-03-13 12:36:05,1,http://www.madduxsports.com
1050,cinemark ontario ohio,2006-03-16 16:51:57,1,http://www.cinemark.com
1050,cleveland ohio realtors,2006-03-17 23:17:34,1,http://www.homegain.com
1050,cleveland ohio realtors,2006-03-17 23:17:34,2,http://www.cleve-oh.com
1050,remax.com,2006-03-17 23:42:26,1,http://ww1.remax.com
1050,18408 ponciana ave,2006-03-20 15:04:06,2,http://www.looboo.com
1050,18408 ponciana ave,2006-03-20 15:04:06,2,http://www.looboo.com
1050,rich mckay,2006-03-20 15:41:28,1,http://www.atlantafalcons.com
1050,niagara falls clifton hill,2006-03-20 17:02:39,1,http://www.cliftonhill.com
1050,niagara falls clifton hill drinking age,2006-03-20 17:05:43,1,http://wikitravel.org
1050,niagara falls clifton hill drinking age,2006-03-20 17:05:43,7,http://www.trailcanada.com
1050,canada drinking age 2006,2006-03-20 17:07:32,1,http://www.mytravelguide.com
1050,canada drinking age 2006,2006-03-20 17:07:32,2,http://usmilitary.about.com
1050,canada drinking age 2006,2006-03-20 17:07:32,5,http://www.youthrights.org
1050,canada drinking age 2006,2006-03-20 17:07:32,6,http://www.ccsa.ca
1050,canada drinking age 2006,2006-03-20 17:07:32,7,http://ca.dir.yahoo.com
1050,canada drinking age 2006,2006-03-20 17:07:32,4,http://www.redflagdeals.com
1050,canada drinking age 2006,2006-03-20 17:07:32,3,http://en.wikipedia.org
1050,www.people.com,2006-03-21 00:18:43,1,http://people.aol.com
